"endyear","unitid","instname","state","sector","ugftfresh","ugftfreshwh","ugftfreshbl","ugftfreshhi","ugftfreshap","ugftfreshas","ugftfreshnh","ugftfreshna","ugftfreshmr","ugftfreshun","ugftfreshal","ugftfreshwh_pct","ugftfreshbl_pct","ugftfreshhi_pct","ugftfreshap_pct","ugftfreshas_pct","ugftfreshnh_pct","ugftfreshna_pct","ugftfreshmr_pct","ugftfreshun_pct","ugftfreshal_pct","ugptfresh","ugptfreshwh","ugptfreshbl","ugptfreshhi","ugptfreshap","ugptfreshas","ugptfreshnh","ugptfreshna","ugptfreshmr","ugptfreshun","ugptfreshal","ugptfreshwh_pct","ugptfreshbl_pct","ugptfreshhi_pct","ugptfreshap_pct","ugptfreshas_pct","ugptfreshnh_pct","ugptfreshna_pct","ugptfreshmr_pct","ugptfreshun_pct","ugptfreshal_pct","ugftptfresh","ugftptfreshwh","ugftptfreshbl","ugftptfreshhi","ugftptfreshap","ugftptfreshas","ugftptfreshnh","ugftptfreshna","ugftptfreshmr","ugftptfreshun","ugftptfreshal","ugftptfreshwh_pct","ugftptfreshbl_pct","ugftptfreshhi_pct","ugftptfreshap_pct","ugftptfreshas_pct","ugftptfreshnh_pct","ugftptfreshna_pct","ugftptfreshmr_pct","ugftptfreshun_pct","ugftptfreshal_pct","ugft","ugftwh","ugftbl","ugfthi","ugftap","ugftas","ugftnh","ugftna","ugftmr","ugftun","ugftal","ugftwh_pct","ugftbl_pct","ugfthi_pct","ugftap_pct","ugftas_pct","ugftnh_pct","ugftna_pct","ugftmr_pct","ugftun_pct","ugftal_pct","ugpt","ugptwh","ugptbl","ugpthi","ugptap","ugptas","ugptnh","ugptna","ugptmr","ugptun","ugptal","ugptwh_pct","ugptbl_pct","ugpthi_pct","ugptap_pct","ugptas_pct","ugptnh_pct","ugptna_pct","ugptmr_pct","ugptun_pct","ugptal_pct","ugftpt","ugftptwh","ugftptbl","ugftpthi","ugftptap","ugftptas","ugftptnh","ugftptna","ugftptmr","ugftptun","ugftptal","ugftptwh_pct","ugftptbl_pct","ugftpthi_pct","ugftptap_pct","ugftptas_pct","ugftptnh_pct","ugftptna_pct","ugftptmr_pct","ugftptun_pct","ugftptal_pct","state_pop_1824","pop4_white_nh_1824","pop4_black_nh_1824","pop4_api_nh_1824","pop4_aina_nh_1824","pop4_hispanic_1824","pop4_white_nh_1824_pct","pop4_black_nh_1824_pct","pop4_api_nh_1824_pct","pop4_aina_nh_1824_pct","pop4_hispanic_1824_pct","cntypop4_total_1824","cntypop4_white_nh_1824","cntypop4_black_nh_1824","cntypop4_api_nh_1824","cntypop4_aina_nh_1824","cntypop4_hispanic_1824","cntypop4_white_nh_1824_pct","cntypop4_black_nh_1824_pct","cntypop4_api_nh_1824_pct","cntypop4_aina_nh_1824_pct","cntypop4_hispanic_1824_pct"
1980,126614,"university of colorado at boulder","CO",,3395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1981,126614,"university of colorado at boulder","CO",,3147,2926,58,70,57,0,0,20,0,0,16,0.929774388306324,0.0184302510327296,0.0222434064188116,0.0181124880838894,0,0,0.0063552589768033,0,0,0.00508420718144264,44,35,3,4,1,0,0,0,0,0,1,0.795454545454545,0.0681818181818182,0.0909090909090909,0.0227272727272727,0,0,0,0,0,0.0227272727272727,3191,2961,61,74,58,0,0,20,0,0,17,0.927922281416484,0.0191162644938891,0.0231902225007835,0.0181761203384519,0,0,0.00626762770291445,0,0,0.00532748354747728,16532,14937,345,568,375,0,0,95,0,0,212,0.903520445197193,0.0208686184369707,0.0343576094846359,0.0226832809097508,0,0,0.00574643116380353,0,0,0.0128236148076458,1312,1169,29,49,31,0,0,7,0,0,27,0.891006097560976,0.0221036585365854,0.0373475609756098,0.0236280487804878,0,0,0.00533536585365854,0,0,0.0205792682926829,17844,16106,374,617,406,0,0,102,0,0,239,0.90260031383098,0.0209594261376373,0.0345774490024658,0.0227527460210715,0,0,0.00571620712844654,0,0,0.0133938578793992,,,,,,,,,,,,,,,,,,,,,,
1982,126614,"university of colorado at boulder","CO",,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1983,126614,"u of colorado at boulder","CO",,3368,3088,59,78,107,0,0,22,0,0,14,0.916864608076009,0.0175178147268409,0.0231591448931116,0.0317695961995249,0,0,0.00653206650831354,0,0,0.00415676959619952,119,106,4,1,6,0,0,2,0,0,0,0.890756302521008,0.0336134453781513,0.00840336134453781,0.0504201680672269,0,0,0.0168067226890756,0,0,0,3487,3194,63,79,113,0,0,24,0,0,14,0.915973616289074,0.0180671063951821,0.0226555778606252,0.0324060797246917,0,0,0.00688270719816461,0,0,0.00401491253226269,16627,15103,259,495,482,0,0,99,0,0,189,0.908341853611596,0.0155770734347748,0.029770854634029,0.0289889938052565,0,0,0.0059541709268058,0,0,0.0113670535875383,1539,1386,29,41,47,0,0,16,0,0,20,0.900584795321637,0.0188434048083171,0.0266406757634828,0.0305393112410656,0,0,0.0103963612735543,0,0,0.0129954515919428,18166,16489,288,536,529,0,0,115,0,0,209,0.907684685676539,0.0158537927997358,0.0295056699328416,0.0291203346911813,0,0,0.00633050754156116,0,0,0.0115050093581416,,,,,,,,,,,,,,,,,,,,,,
1984,126614,"university of colorado at boulder","CO",,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1985,126614,"u of colorado at boulder","CO",,3287,2906,57,129,151,0,0,18,0,0,26,0.884088834803772,0.0173410404624277,0.0392455126254944,0.0459385457864314,0,0,0.00547611804076666,0,0,0.00790994828110739,78,68,1,5,3,0,0,0,0,0,1,0.871794871794872,0.0128205128205128,0.0641025641025641,0.0384615384615385,0,0,0,0,0,0.0128205128205128,3365,2974,58,134,154,0,0,18,0,0,27,0.883803863298663,0.0172362555720654,0.0398216939078752,0.0457652303120357,0,0,0.00534918276374443,0,0,0.00802377414561664,16682,15065,230,500,563,0,0,88,0,0,236,0.903069176357751,0.013787315669584,0.0299724253686608,0.0337489509651121,0,0,0.00527514686488431,0,0,0.0141469847740079,1483,1346,25,36,41,0,0,13,0,0,22,0.907619689817937,0.016857720836143,0.0242751180040459,0.0276466621712744,0,0,0.00876601483479434,0,0,0.0148347943358058,18165,16411,255,536,604,0,0,101,0,0,258,0.903440682631434,0.014037985136251,0.0295072942471786,0.0332507569501789,0,0,0.00556014313239747,0,0,0.0142031379025599,,,,,,,,,,,,,,,,,,,,,,
1986,126614,"u of colorado at boulder","CO",,3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1987,126614,"university of colorado at boulder","","pub-4yr",3886,3279,74,175,183,0,0,19,0,0,21,0.843798250128667,0.0190427174472465,0.0450334534225425,0.0470921255790015,0,0,0.00488934637159032,0,0,0.0054040144107051,117,94,5,4,4,0,0,0,0,0,1,0.803418803418803,0.0427350427350427,0.0341880341880342,0.0341880341880342,0,0,0,0,0,0.00854700854700855,4003,3373,79,179,187,0,0,19,0,0,22,0.842618036472646,0.0197351986010492,0.0447164626530102,0.0467149637771671,0,0,0.0047464401698726,0,0,0.00549587809143143,17582,15154,225,573,677,0,0,66,0,0,280,0.86190422022523,0.0127971789329997,0.0325901490160391,0.0385052895006256,0,0,0.0037538391536799,0,0,0.0159253782277329,1672,1429,38,63,50,0,0,5,0,0,21,0.854665071770335,0.0227272727272727,0.0376794258373206,0.0299043062200957,0,0,0.00299043062200957,0,0,0.0125598086124402,19254,16583,263,636,727,0,0,71,0,0,301,0.861275579100447,0.0136594993248156,0.0330320972265503,0.0377583878674561,0,0,0.00368754544510232,0,0,0.0156331151968422,,,,,,,,,,,,,,,,,,,,,,
1988,126614,"university of colorado at boulder","CO","pub-4yr",3649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1989,126614,"university of colorado at boulder","CO","pub-4yr",3430,2855,96,218,220,0,0,27,0,0,14,0.832361516034985,0.0279883381924198,0.0635568513119533,0.0641399416909621,0,0,0.00787172011661808,0,0,0.00408163265306122,54,36,5,3,8,0,0,2,0,0,0,0.666666666666667,0.0925925925925926,0.0555555555555556,0.148148148148148,0,0,0.037037037037037,0,0,0,3484,2891,101,221,228,0,0,29,0,0,14,0.829793340987371,0.0289896670493685,0.0634328358208955,0.0654420206659013,0,0,0.00832376578645235,0,0,0.00401836969001148,18182,15975,299,755,830,0,0,77,0,0,246,0.878616213837862,0.0164448355516445,0.0415245847541525,0.045649543504565,0,0,0.0042349576504235,0,0,0.013529864701353,1444,1268,40,54,48,0,0,8,0,0,26,0.878116343490305,0.0277008310249307,0.0373961218836565,0.0332409972299169,0,0,0.00554016620498615,0,0,0.018005540166205,19626,17243,339,809,878,0,0,85,0,0,272,0.87857943544278,0.0172730051971874,0.041220829511872,0.0447365739325385,0,0,0.00433098950371956,0,0,0.0138591664119026,,,,,,,,,,,,,,,,,,,,,,
